STATE/UT,YEAR,Population (Million) ,Literacy rates,Area(km²),MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes In the state
 Madhya Pradesh,2015,78.5,69.32%,308252,2405,2512,2921,847,604,243,147,1557,11192,20685,6390,14295,2573,613,1292,817,33803,739,6426,4593,91951,189172,395777
 Maharashtra,2015,118.8,82.34%,307713,2621,1614,1545,1194,851,343,641,2411,15615,46851,12189,34662,6779,1720,6391,1123,30017,341,3228,9608,47386,187027,414157
 Manipur,2015,2.9,79.85%,22327,256,252,25,106,69,37,4,8,62,243,92,151,35,52,122,155,295,0,25,5,1234,2913,6141
 Meghalaya,2015,3.3,75.48%,22429,134,35,63,48,19,29,81,95,148,476,116,360,42,18,39,70,135,1,44,61,381,1880,4275
 Mizoram,2015,1.1,91.58%,21081,24,24,37,13,0,13,3,6,442,777,0,777,35,11,58,20,77,4,49,4,558,2156,5088
 Nagaland,2015,2.2,79.55%,16579,87,26,17,26,9,17,12,80,93,294,97,197,8,17,41,4,35,0,7,37,252,1049,2405
 Odisha,2015,42,72.87%,155707,1079,1279,799,641,547,94,184,998,3029,6743,1626,5117,1515,301,1040,386,5919,334,2238,3034,20182,51685,108770
 Punjab,2015,29.9,75.84%,50362,713,723,398,478,329,149,27,85,1933,2924,1151,1773,1,306,2934,55,4267,99,308,2283,8438,27136,56510
 Rajasthan,2015,74.8,66.11%,342239,1221,1920,993,1993,1549,444,41,590,5227,17898,6723,11175,2290,613,8341,648,22606,361,2503,5872,61549,140917,295474
 Sikkim,2015,0.7,81.42%,7096,8,16,18,3,2,1,2,4,85,81,5,76,19,4,44,3,99,0,38,53,67,552,1180
 Tamil Nadu,2015,76.7,80.09%,130058,1440,1759,571,1029,783,246,73,437,3738,15851,3583,12268,2551,239,2694,495,31725,215,1764,8902,86494,162360,339217
 Tripura,2015,3.7,87.22%,10491,121,56,162,85,43,42,22,61,170,325,62,263,148,32,59,35,429,34,161,188,811,3356,6665
 Uttar Pradesh,2015,204.2,67.68%,240928,5711,5637,1217,2955,2256,699,286,2049,4556,20695,8647,12048,3926,2524,4556,398,10379,1564,1835,7406,37158,122108,258610
 Uttarakhand,2015,10.1,79.63%,53483,279,202,133,203,125,78,48,159,521,1630,533,1097,433,144,396,24,745,63,100,462,2078,8033,17486
 West Bengal,2015,91.3,77.08%,88752,1453,434,1686,1207,1039,168,211,426,739,12124,2435,9689,2635,528,1760,92,4125,446,1572,2737,25444,66406,137356
 Andaman and Nicobar Islands  ,2015,0.45,86.63%,8249,14,3,4,2,1,1,0,4,68,92,6,86,4,8,13,6,79,0,11,3,362,682,1449
Chandigarh,2015,1.26,86.43%,114,18,15,33,54,45,9,0,12,223,1373,579,794,43,41,161,1,57,3,31,9,969,3133,7603
 Dadra and Nagar Haveli   ,2015,0.4,76.24%,603,7,5,5,13,9,4,3,2,25,74,17,57,18,12,10,1,33,0,5,17,195,434,946
 Daman & Diu   ,2015,0.3,87.07%,112,5,2,2,4,2,2,4,0,37,50,27,23,19,6,3,1,16,1,1,24,58,243,530
 Delhi,2015,18.6,86.21%,1484,455,467,658,1590,1106,484,27,510,2093,17955,8862,9093,61,394,2378,47,1814,114,762,634,24299,56065,129868
 Lakshadweep   ,2015,0.065,92.28%,32,1,0,0,0,0,0,0,0,2,7,0,7,6,0,0,0,4,0,0,0,22,42,91
 Puducherry   ,2015,1.3,86.55%,479,19,24,6,6,3,3,1,5,67,466,235,231,159,8,41,9,857,4,60,224,2579,4575,9582
 Andhra Pradesh,2016,54,67.02%,162975,2766,1860,1049,2030,1329,701,178,679,8304,23510,5313,18197,2916,1007,8363,1012,47946,519,4534,11489,43722,173909,361333
 Arunachal Pradesh,2016,1.5,65.38%,83743,60,33,37,75,51,24,28,74,257,451,74,377,6,61,38,20,415,1,63,82,565,2294,5086
 Assam,2016,32,72.19%,78438,1207,414,1244,1825,1544,281,319,544,2911,7820,1362,6458,2684,461,905,488,5290,105,1290,3022,10444,43673,94291
 Bihar,2016,110,63.82%,94163,3249,3303,1232,2619,1084,1535,1001,2169,3531,11752,2023,9729,8259,1054,2171,785,12674,1188,530,2860,39941,100665,213354
 Chhattisgarh,2016,27,71.04%,135192,1098,825,995,239,178,61,160,439,3507,5262,1623,3639,905,137,507,262,6722,103,1598,2239,19246,45177,94922
 Goa,2016,1.5,87.40%,3702,39,17,21,16,10,6,7,17,252,494,223,271,63,35,55,38,170,0,18,233,698,2204,4887
 Gujarat,2016,60,78.03%,196024,1165,471,354,1128,945,183,290,970,5530,18475,7188,11287,1534,1246,1529,321,10685,50,736,4339,66802,120972,256200
 Haryana,2016,27,75.55%,44212,873,585,608,635,431,204,104,410,4001,10518,6300,4218,1142,750,1424,156,5135,255,486,1350,19014,50509,109108
 Himachal Pradesh,2016,7,82.80%,55673,111,78,113,130,109,21,7,29,754,812,214,598,566,137,129,115,1261,3,275,499,7760,13093,26814
 Jammu & Kashmir,2016,12,68.74%,42241,487,854,250,789,723,66,10,112,1351,1937,554,1383,1197,123,463,203,376,10,960,222,10886,20787,43743
 Jharkhand,2016,33,67.63%,79716,1492,1078,799,635,410,225,536,779,1428,6173,1146,5027,2650,319,833,178,3055,281,414,1154,13667,36364,78643
 Karnataka,2016,61,75.60%,191791,1627,1484,400,563,328,235,202,1349,5967,14901,5759,9142,6183,471,2910,268,19488,244,1683,534,56815,117710,248263
 Kerala,2016,35,94.00%,38863,393,347,601,294,202,92,129,691,4245,5431,2014,3417,6365,299,3316,435,19105,25,2543,49,56777,105255,212025
 Madhya Pradesh,2016,83,70.60%,308252,2309,2370,2900,808,617,191,151,1770,10960,21733,7552,14181,2308,519,1522,815,34709,764,6243,4823,95959,194711,407915
 Maharashtra,2016,120,82.34%,307713,2656,1680,1500,1261,921,340,663,2574,15877,46473,12741,33732,7453,1726,6234,1188,29407,387,3479,10933,49834,191788,422847
 Manipur,2016,3,70.50%,22327,205,265,40,130,79,51,2,8,55,290,105,185,60,40,82,109,296,0,42,3,1207,2884,6138
 Meghalaya,2016,3,75.48%,22429,157,42,74,57,25,32,57,65,140,470,135,335,7,16,83,28,138,6,57,68,438,1935,4365
 Mizoram,2016,1,91.58%,21081,25,19,72,6,1,5,7,10,422,758,60,698,0,30,78,25,72,0,51,26,454,2073,4892
 Nagaland,2016,2,79.55%,16579,123,46,23,31,3,28,16,84,70,327,113,214,7,18,37,16,50,0,3,28,201,1103,2541
 Odisha,2016,45,72.87%,155707,1159,752,985,704,577,127,239,1184,3120,6567,1571,4996,1535,313,1364,371,6226,457,2415,2945,21375,52792,111774
 Punjab,2016,30,75.84%,50362,817,898,442,591,418,173,35,142,2277,3946,1561,2385,3,281,3393,68,5104,130,314,2919,9524,32068,67489
 Rajasthan,2016,75,66.11%,342239,1209,1694,1085,1970,1553,417,37,631,5085,17889,7276,10613,1767,694,10191,551,21296,394,2582,6234,61379,141992,296539
 Sikkim,2016,0.7,81.42%,7096,21,16,20,8,7,1,0,9,84,113,8,105,12,10,37,1,96,0,14,39,214,703,1518
 Tamil Nadu,2016,78,80.09%,130058,1363,1599,457,906,718,188,95,450,3300,13651,2877,10774,1838,194,2116,460,14067,187,1179,10792,94131,148972,310314
 Tripura,2016,4,87.75%,10491,154,52,189,105,62,43,18,71,182,392,31,361,154,23,84,35,464,35,207,199,1091,3940,7892
Uttar Pradesh,2016,214,67.68%,240928,5480,4997,1314,3318,2551,767,218,2024,4577,20447,9621,10826,3774,2509,5142,299,10412,1798,2096,7235,41536,127001,267942
 Uttarakhand,2016,11,79.63%,53483,274,215,147,212,183,29,31,157,470,1696,525,1171,489,95,514,39,854,80,153,524,1935,8412,18205
 West Bengal,2016,91,77.08%,88752,1425,672,1731,1355,1199,156,177,426,601,12532,2714,9818,2385,519,1947,111,6299,445,1837,3039,23274,68052,140714
Uttar Pradesh,2016,214,67.68%,240928,4,4,6,5,5,0,0,5,82,101,6,95,10,3,15,9,78,0,14,2,322,676,1442
 Andaman & Nicobar Islands,2016,0.4,86.63%,8249,12,21,19,65,57,8,1,34,189,1234,529,705,44,59,232,5,55,10,20,14,983,3126,7422
 Chandigarh,2016,1,86.43%,114,9,0,6,18,14,4,5,5,41,61,13,48,8,30,10,5,35,1,5,16,172,435,941
 Daman & Diu,2016,0.3,87.07%,112,6,3,3,3,1,2,8,1,60,63,33,30,24,9,3,5,18,0,2,26,48,288,636
 Delhi,2016,18,86.21%,1484,476,510,623,1442,1066,376,14,541,1950,17498,9366,8132,87,442,2313,33,1818,137,718,367,26805,57963,132677
 Lakshadweep,2016,0.1,92.28%,32,0,2,0,0,0,0,0,0,2,17,1,16,12,0,0,4,5,0,0,0,37,80,176
 Puducherry,2016,1.2,85.85%,479,30,24,9,18,13,5,2,3,84,560,320,240,194,6,36,22,927,3,56,209,2441,4687,9889
 Andhra Pradesh,2017,53.9,67.00%,162975,2665,1885,1070,2097,1564,533,170,614,7677,24391,6183,18208,1998,869,8103,1176,46122,613,4406,12629,43586,175087,361646
 Arunachal Pradesh,2017,1.42,66.00%,83743,68,29,48,68,44,24,16,75,240,513,116,397,16,41,33,22,375,0,72,82,555,2286,5120
 Assam,2017,34.77,73.00%,78438,1374,451,1437,1971,1471,500,299,496,2603,7754,1982,5772,2601,653,895,380,5175,100,789,2875,12183,45282,97043
 Bihar,2017,119.86,63.00%,94163,3034,3113,1555,2530,1260,1270,686,1787,3259,11795,2392,9403,7962,1326,2358,865,16288,1172,853,3789,44931,109420,231048
 Chhattisgarh,2017,28.45,70.00%,135192,1097,747,982,244,181,63,115,427,3632,5381,1814,3567,881,150,467,253,6801,100,1549,2476,19505,45845,96277
 Goa,2017,1.5,87.00%,3702,33,23,20,12,7,5,7,22,292,494,207,287,70,36,55,24,150,2,20,247,934,2479,5426
 Gujarat,2017,63.81,79.00%,196024,1166,494,316,1312,1089,223,245,1095,4870,18164,8022,10142,1668,1139,1116,330,10989,42,822,4831,68332,123195,259602
 Haryana,2017,27.76,76.00%,44212,911,592,488,801,554,247,139,502,4231,11047,6499,4548,1173,726,1232,142,5031,269,417,1545,19159,51597,111850
 Himachal Pradesh,2017,7.34,83.00%,55673,127,57,159,171,150,21,5,23,877,1092,264,828,649,132,212,141,1318,8,322,597,7937,14222,29312
 Jammu & Kashmir,2017,12.54,68.00%,42241,318,669,288,758,707,51,18,111,1460,2086,514,1572,1209,121,489,186,374,9,986,243,11535,21443,45147
 Jharkhand,2017,34.88,67.00%,79716,1617,1076,855,762,534,228,524,771,1495,7091,1784,5307,2565,448,814,160,3783,303,342,1019,13897,38489,83864
 Karnataka,2017,67.57,75.00%,191791,1538,1251,436,680,390,290,178,1313,5449,14351,5887,8464,5783,400,3600,262,18963,251,1828,514,60853,120606,253287
 Kerala,2017,35.13,95.00%,38863,367,402,512,255,177,78,121,869,4100,5609,2113,3496,7358,394,4215,398,18975,27,2624,59,57681,108530,218360
 Madhya Pradesh,2017,82.23,70.00%,308252,2244,2423,3010,922,701,221,143,1975,11230,22396,8915,13481,2648,531,1661,909,36643,742,6772,5754,98007,202386,423714
 Maharashtra,2017,123.17,82.00%,307713,2693,1615,1451,1312,967,345,716,2770,15607,47681,13895,33786,7993,1715,6235,1267,29622,436,3306,11946,50159,195707,431224
 Manipur,2017,3,79.00%,22327,240,377,20,150,83,67,3,11,70,454,150,304,70,19,93,63,377,0,70,1,1074,3259,6955
 Meghalaya,2017,3.21,75.00%,22429,114,49,82,52,22,30,55,56,203,500,91,409,33,17,164,36,124,2,45,68,438,2079,4669
 Mizoram,2017,1.17,91.00%,21081,43,21,83,4,0,4,0,5,457,808,64,744,1,20,66,38,85,0,66,34,330,2083,4956
 Nagaland,2017,2.2,79.00%,16579,111,50,13,17,6,11,7,75,118,360,194,166,15,13,34,5,52,0,8,43,242,1180,2720
 Odisha,2017,45.48,73.00%,155707,1210,1105,939,801,660,141,247,1273,3073,6830,1733,5097,1983,319,1263,411,7478,461,2775,3771,19870,54872,116312
 Punjab,2017,30.97,76.00%,50362,760,893,519,760,545,215,37,138,2616,5173,2084,3089,1,329,3581,96,5663,133,427,2801,10517,35793,76170
 Rajasthan,2017,68.62,67.00%,342239,1303,1772,1238,2177,1694,483,71,778,5164,19345,8258,11087,1626,825,11919,675,19720,439,2477,7096,63846,148870,310863
 Sikkim,2017,0.61,81.00%,7096,9,14,24,9,9,0,0,6,83,118,11,107,15,7,34,1,95,0,13,34,192,667,1448
 Tamil Nadu,2017,72.14,80.00%,130058,1633,2078,523,1270,1097,173,88,495,3717,13217,2901,10316,2375,261,2510,653,16967,208,1540,11485,110748,172754,357009
 Tripura,2017,3.79,87.00%,10491,138,58,157,113,81,32,14,64,193,411,55,356,142,42,85,23,546,36,244,203,1241,4273,8507
Uttar Pradesh,2017,220.41,67.00%,240928,5000,4424,1648,4478,3363,1115,437,2169,5057,22816,10859,11957,4495,3639,8399,268,10694,2076,2522,7655,51914,150258,315243
 Uttarakhand,2017,10.08,79.00%,53483,268,228,117,253,227,26,46,173,548,1593,565,1028,459,163,697,37,886,70,146,608,2686,9599,20423
 West Bengal,2017,96.34,76.00%,88752,1652,877,2106,1800,1590,210,146,427,399,13747,2421,11326,3727,672,2406,121,6909,451,2281,3803,27903,81102,166076
 Andaman & Nicobar Islands,2017,0.41,86.00%,8249,15,19,3,12,9,3,5,9,90,112,8,104,17,7,23,11,99,1,21,4,337,807,1716
 Chandigarh,2017,1.05,86.00%,114,19,26,22,52,46,6,2,37,191,1740,853,887,79,38,170,9,78,1,32,15,999,3643,8945
 Dadra & Nagar Haveli,2017,0.42,76.00%,603,10,2,7,9,6,3,1,3,28,87,19,68,39,17,10,10,25,0,0,12,161,425,942
 Daman & Diu,2017,0.24,87.00%,112,12,7,1,1,1,0,3,2,46,43,28,15,31,5,6,3,20,1,0,32,37,260,554
 Delhi,2017,18.68,86.00%,1484,495,530,598,1688,1167,521,34,557,2055,17037,8874,8163,87,451,2336,31,1736,138,868,252,24854,56065,128537
 Lakshadweep,2017,0.064,92.00%,32,0,2,1,0,0,0,0,0,2,20,2,18,1,0,0,0,0,0,2,0,26,56,130
 Puducherry,2017,1.24,86.00%,479,34,42,9,20,14,6,1,8,86,787,498,289,145,6,45,18,904,2,89,267,2537,5054,10861
 Andhra Pradesh,2018,50,67.02%,162975,2690,1942,1257,1970,1396,574,110,623,8332,25362,7297,18065,1930,990,8393,1021,48167,556,4730,12861,43929,179275,371470
 Arunachal Pradesh,2018,1.5,66.95%,83743,72,37,42,79,47,32,14,79,245,445,60,385,18,43,28,10,479,0,72,104,590,2374,5255
 Assam,2018,35,73.18%,78438,1426,417,1438,2239,1789,450,312,568,3147,8012,2101,5911,2600,680,996,443,6107,103,1272,2259,17598,53333,113201
 Bihar,2018,120,61.80%,94163,3139,2954,1302,3047,1789,1258,686,1592,3414,13206,2675,10531,8099,1352,2741,772,16644,1210,999,4592,54370,122669,259041
 Chhattisgarh,2018,30,70.28%,135192,1169,736,978,273,216,57,124,500,4112,6079,2122,3957,1144,169,562,302,8565,106,1621,2800,21074,51442,108108
 Goa,2018,1.5,87.40%,3702,49,25,30,36,28,8,3,23,302,601,238,363,102,47,105,27,185,2,32,230,886,2742,6064
 Gujarat,2018,65,79.31%,196024,1106,487,374,1323,1119,204,256,1322,5053,20715,9947,10768,1809,1167,1167,363,10897,27,828,4934,65525,123808,263199
 Haryana,2018,30,76.64%,44212,921,616,631,854,644,210,120,555,4249,12709,7674,5035,1184,763,1150,139,4504,302,435,1323,21460,55344,120822
 Himachal Pradesh,2018,7,82.80%,55673,129,59,157,151,137,14,6,20,885,1152,332,820,627,137,248,127,1258,3,295,485,7837,13976,28855
 Jammu & Kashmir,2018,15,67.16%,42241,237,570,219,704,656,48,3,67,1347,2198,689,1509,1782,87,392,230,273,21,935,293,10734,20604,43598
 Jharkhand,2018,35,66.41%,79716,1697,1061,791,792,499,293,416,761,1375,7269,2165,5104,2576,269,900,164,2826,266,271,1310,14843,38686,84334
 Karnataka,2018,70,75.36%,191791,1698,1475,446,758,405,353,270,1615,6258,17820,8960,8860,6013,424,3669,265,19159,259,1954,572,61755,127540,270528
 Kerala,2018,35,94.00%,38863,362,434,568,253,166,87,91,816,3882,5818,1981,3837,8057,435,3659,389,19178,31,2745,37,59061,110620,222507
 Madhya Pradesh,2018,80,70.60%,308252,2322,2282,2937,929,736,193,160,2234,11072,24583,10533,14050,2768,570,1368,898,36344,805,6445,6008,100513,206556,434306
 Maharashtra,2018,120,82.34%,307713,2795,1837,1558,1379,998,381,811,3031,16004,52860,16900,35960,9388,1880,7296,1288,29742,390,3619,12472,50183,206243,457015
 Manipur,2018,3,79.85%,22327,187,498,38,176,87,89,1,7,76,446,223,223,48,24,161,41,301,1,57,2,1038,3349,7073
 Meghalaya,2018,3,75.48%,22429,126,55,88,56,25,31,63,65,168,669,137,532,8,32,104,28,204,2,54,64,480,2318,5309
 Mizoram,2018,1,91.33%,21081,35,10,77,9,1,8,4,6,338,747,27,720,1,34,57,18,118,0,78,53,378,1989,4708
 Nagaland,2018,2,79.55%,16579,143,47,19,44,7,37,6,87,127,345,182,163,4,16,31,14,46,0,15,44,192,1202,2771
 Odisha,2018,45,72.87%,155707,1250,1415,1113,908,762,146,305,1345,3100,7419,1975,5444,2721,342,1244,869,7013,401,2782,3535,18916,56755,119760
 Punjab,2018,30,75.84%,50362,769,956,517,718,514,204,40,167,2621,5563,2182,3381,1,236,3192,75,5597,128,388,2845,10122,35314,75530
 Rajasthan,2018,70,66.11%,342239,1297,1649,1355,2358,1863,495,64,829,4736,20411,9857,10554,1390,737,12097,615,21117,439,2520,7322,63924,151174,316803
 Sikkim,2018,0.7,82.20%,7096,9,7,20,4,4,0,1,7,81,127,9,118,17,6,46,23,100,0,19,40,215,730,1583
 Tamil Nadu,2018,80,80.33%,130058,1759,2327,573,1375,1160,215,100,662,3849,15019,3722,11297,2811,231,2349,610,20529,207,1705,12328,107084,176833,366745
 Tripura,2018,4,87.75%,10491,155,53,204,146,110,36,13,95,218,499,43,456,197,42,92,47,924,16,346,195,1327,5336,10550
 Uttar Pradesh,2018,220,67.68%,240928,4564,4233,1871,5428,4439,989,313,2097,5418,25946,12064,13882,4381,4296,9327,228,11683,2237,2955,10102,60242,168996,355691
 Uttarakhand,2018,15,79.63%,53483,223,217,87,247,222,25,16,144,423,1622,726,896,509,171,463,15,937,73,120,590,2280,8856,18862
 West Bengal,2018,100,76.26%,88752,1811,1732,2263,2332,1907,425,184,613,462,17334,2593,14741,5425,876,2938,150,9033,451,2396,3789,38177,105419,215051
 Andaman & Nicobar Islands,2018,0.4,86.63%,8249,8,11,12,17,13,4,0,14,78,128,11,117,16,12,19,15,107,2,24,4,383,882,1877
 Chandigarh,2018,1.1,86.05%,114,17,28,20,50,42,8,1,23,257,1991,1094,897,85,37,213,2,73,3,19,11,1040,3931,9842
 Dadra & Nagar Haveli,2018,0.6,77.70%,603,9,2,6,17,11,6,1,0,49,54,18,36,24,10,24,6,26,0,4,10,154,401,868
Daman & Diu,2018,0.6,87.07%,112,2,2,0,4,1,3,2,4,45,49,31,18,35,4,2,3,12,0,2,39,36,248,542
 Delhi,2018,20,86.21%,1484,554,389,466,1567,1136,431,24,541,1926,18867,11020,7847,71,355,1493,41,1936,129,611,726,17896,49350,117376
 Lakshadweep,2018,0.07,91.85%,32,1,0,2,1,1,0,0,0,3,8,1,7,12,0,0,2,12,0,0,0,53,95,198
 Puducherry,2018,1.3,85.85%,479,35,35,8,17,9,8,10,10,90,688,443,245,165,13,53,9,873,2,65,207,2668,4989,10642
 Andhra Pradesh,2019,53.9,67.41%,162975,2449,1859,1188,1958,1526,432,102,544,7772,24692,7804,16888,2261,904,8528,1039,44488,546,5147,13438,48087,180441,372093
 Arunachal Pradesh,2019,1.57,65.38%,83743,59,33,59,62,28,34,20,55,201,381,109,272,52,38,29,28,526,0,58,110,619,2362,5135
 Assam,2019,35.61,72.19%,78438,1323,417,1631,2718,2092,626,251,680,3149,7644,1713,5931,1808,802,1098,476,6547,170,1342,2735,17973,55313,116439
 Bihar,2019,119.35,61.80%,94163,3152,3068,929,3222,1986,1236,654,1619,3566,15221,3674,11547,8554,1186,2676,685,14746,1295,726,4516,54165,122931,261354
 Chhattisgarh,2019,29.98,70.28%,135192,1083,732,976,286,229,57,134,554,3975,5792,2181,3611,957,166,682,335,9543,128,1598,2735,20546,51370,107670
 Goa,2019,1.56,88.70%,3702,53,24,47,33,22,11,4,30,294,858,336,522,50,52,132,24,191,3,37,220,884,3005,6832
 Gujarat,2019,63.8,79.31%,196024,1020,468,433,1348,1162,186,246,1420,4488,19669,11130,8539,1539,1256,1014,240,9456,24,727,5178,60758,115183,245484
 Haryana,2019,28.81,80.34%,44212,948,690,603,916,659,257,153,679,4077,12917,8449,4468,1166,827,1406,153,3977,281,451,1549,21804,56229,122659
 Himachal Pradesh,2019,7.25,83.78%,55673,125,73,183,150,122,28,4,21,784,823,327,496,591,117,264,124,1230,1,318,616,7555,13315,27267
   Jammu & Kashmir,2019,12.55,68.74%,42241,237,547,237,873,825,48,1,69,1566,2631,876,1755,1472,132,475,217,331,12,972,517,11059,21975,46827
 Jharkhand,2019,37.67,66.41%,79716,1636,1274,719,827,517,310,412,780,1392,7716,2990,4726,2312,473,910,203,4132,295,276,1678,11430,37436,82444
 Karnataka,2019,67.58,75.36%,191791,1702,1607,509,892,408,484,273,1825,6629,20576,11093,9483,6269,461,5079,293,20105,264,2186,417,61108,134042,285705
 Kerala,2019,35.96,96.02%,38863,343,408,568,256,173,83,112,830,3554,5564,2029,3535,8086,354,3394,503,18274,20,2540,41,68688,118369,237724
 Madhya Pradesh,2019,82.72,70.63%,308252,2386,2212,2998,1036,841,195,117,2270,10661,23260,10705,12555,2409,575,1830,741,37132,858,6307,6591,101367,207762,434808
 Maharashtra,2019,123.18,82.34%,307713,2653,1880,1483,1286,926,360,780,3314,15841,50930,18133,32797,8030,1895,7976,1105,28326,341,3196,12459,48460,199598,441769
 Manipur,2019,3,79.21%,22327,131,478,31,159,97,62,1,3,68,394,283,111,48,20,96,81,224,0,39,0,861,2852,6039
 Meghalaya,2019,3.36,75.48%,22429,128,39,112,56,26,30,64,67,147,545,180,365,18,26,113,54,207,0,72,72,680,2448,5449
 Mizoram,2019,1.18,91.58%,21081,31,14,83,9,0,9,2,4,381,761,77,684,1,30,61,24,120,0,61,36,407,2047,4842
 Nagaland,2019,2.3,79.55%,16579,46,35,22,52,10,42,8,92,82,347,69,278,4,6,33,4,38,0,11,34,235,1059,2507
 Odisha,2019,45.51,72.87%,155707,1250,1231,1023,930,799,131,380,1488,2937,7136,2521,4615,1718,258,1137,413,6816,384,2697,2979,20560,55740,117143
 Punjab,2019,30.99,76.68%,50362,853,1014,511,692,513,179,38,171,2507,5624,2713,2911,8,234,3098,101,5498,126,319,3289,10080,35545,76024
 Rajasthan,2019,78.62,69.72%,342239,1395,1673,1519,2870,2310,560,53,886,5294,22144,12156,9988,1145,842,15037,556,21652,436,2485,7898,70089,166565,347553
 Sikkim,2019,0.67,81.42%,7096,19,7,18,6,6,0,0,4,93,62,8,54,39,4,12,9,91,0,10,59,225,669,1395
 Tamil Nadu,2019,81.71,80.09%,130058,1776,2325,596,1372,1133,239,97,1144,4221,15712,4973,10739,2397,215,2557,580,18147,194,1242,13528,106215,174691,364093
 Tripura,2019,3.67,87.75%,10491,133,59,190,121,92,29,7,77,231,415,39,376,178,52,110,62,1047,29,384,225,1324,5486,10666
 Uttar Pradesh,2019,224.95,67.68%,240928,4534,4141,1759,6083,5078,1005,365,2285,5260,29226,16109,13117,4263,3917,8845,254,10934,2232,2782,12159,60918,172884,368150
Uttarakhand,2019,11.09,79.63%,53483,195,185,111,275,247,28,35,179,363,1601,735,866,466,156,544,17,1198,94,119,685,1868,8802,18769
 West Bengal,2019,99.61,77.08%,88752,2068,2119,2336,2750,2187,563,214,751,329,17133,3709,13424,6700,918,3298,344,11196,506,1942,3623,38776,113036,227922
  Andaman & Nicobar Islands,2019,0.42,86.27%,8249,15,4,18,16,14,2,0,11,86,134,10,124,11,7,20,12,89,1,30,2,451,941,1998
   Chandigarh,2019,1.05,86.05%,114,22,18,29,40,36,4,4,27,241,1731,1117,614,66,38,193,4,63,2,26,7,976,3555,8813
   Dadra & Nagar Haveli,2019,0.7,77.65%,603,10,5,4,12,9,3,9,2,43,63,21,42,53,17,20,5,23,0,2,17,151,442,953
Daman & Diu,2019,0.7,87.07%,112,5,4,1,0,0,0,0,4,33,41,27,14,29,8,4,3,14,0,4,40,78,276,585
Delhi,2019,18.9,88.73%,1484,552,369,469,2536,1655,881,36,515,1733,21731,13224,8507,57,333,2000,34,1938,141,552,846,14808,50251,123168
 Lakshadweep,2019,0.07,91.85%,32,0,1,1,0,0,0,3,0,1,10,5,5,44,0,0,2,14,0,0,0,58,134,278
   Puducherry,2019,1.29,86.55%,479,37,25,1,18,13,5,7,9,71,711,502,209,141,7,47,11,901,0,53,233,2278,4591,9870
 Andhra Pradesh,2020,53,67.41%,162975,2538,1953,1362,2053,1531,522,134,550,8200,26756,7422,19334,2231,1130,9164,925,46777,588,4634,14085,41373,181438,374700
 Arunachal Pradesh,2020,1.5,66.95%,83743,75,34,47,67,46,21,15,69,211,445,139,306,31,59,91,28,439,0,84,106,622,2439,5374
 Assam,2020,34,72.19%,78438,1223,431,1721,3250,2767,483,248,662,3458,7860,2124,5736,2183,992,1371,437,5744,175,1400,2847,22110,61668,128890
 Bihar,2020,125,61.80%,94163,3362,2915,795,3674,2569,1105,644,1538,3437,15544,4257,11287,8809,1071,3025,660,15328,1257,534,5615,56508,127453,271387
 Chhattisgarh,2020,29,71.04%,135192,1065,756,1012,359,279,80,122,552,3711,5805,2139,3666,1092,196,813,319,10188,115,1706,2907,23091,54958,114931
 Goa,2020,1.5,87.40%,3702,35,27,36,25,18,7,2,39,368,1034,359,675,64,57,117,23,177,1,36,256,927,3293,7576
 Gujarat,2020,65,78.03%,196024,1048,462,408,1447,1290,157,186,1384,4071,16794,9817,6977,1623,1214,1002,260,10131,19,668,5907,63788,116439,245092
 Haryana,2020,28,76.64%,44212,1005,836,720,963,714,249,147,734,4445,16266,11299,4967,1414,919,1662,221,3733,284,476,1595,20060,59120,131829
 Himachal Pradesh,2020,7,83.78%,55673,132,74,160,194,162,32,2,11,743,838,334,504,615,110,318,127,1374,2,350,610,7020,13049,26761
 Jammu and Kashmir,2020,12.7,69.74%,42241,217,711,245,896,840,56,6,61,1406,2510,967,1543,2169,150,422,224,278,9,1038,494,11869,23223,49334
 Jharkhand,2020,34,67.63%,79716,1689,1028,773,978,696,282,335,709,1357,7090,2709,4381,2447,505,988,185,4271,276,245,1745,13477,38889,85055
 Karnataka,2020,68,75.36%,191791,1805,1850,586,1374,586,788,272,1949,6059,20093,10840,9253,7710,464,5543,286,21835,248,2544,471,65123,142322,302001
 Kerala,2020,35,94.00%,38863,363,361,634,261,184,77,74,636,2682,4380,1486,2894,8724,343,3581,374,18532,22,2936,47,98668,148313,295572
 Madhya Pradesh,2020,85,70.63%,308252,2423,2277,3135,1187,1030,157,110,1919,9897,21577,11353,10224,2606,507,1779,748,39193,892,6646,7038,107390,214269,446357
