STATE/UT,YEAR,Population (Million) ,Literacy rates,Area(km²),MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes In the state
ASSAM,2012,31.21,73.18%,78438,1368,670,1716,3812,3360,452,266,907,3825,9394,2720,6674,5077,1278,1705,2830,6676,140,1840,2565,27077,77682,162034
BIHAR,2012,104.1,61.80%,94163,3566,5452,927,4807,3789,1018,540,1266,3758,17667,6404,11263,10871,1650,3933,799,45827,1275,118,4631,35421,146614,311596
CHHATTISGARH,2012,25.54,70.28%,135192,998,593,1034,450,350,100,64,412,3334,5341,2358,2983,910,170,925,330,10855,81,1601,2888,23387,54598,113762
GOA,2012,1.46,87.40%,3702,45,35,55,24,16,8,6,25,356,915,300,615,122,64,205,34,266,0,49,233,1115,3608,8096
GUJARAT,2012,60.44,79.31%,196024,1126,557,473,1720,1527,193,287,1366,4695,15952,9057,6895,1758,1240,1361,282,10234,21,745,5573,75702,130121,270885
HARYANA,2012,25.35,76.64%,44212,991,910,668,1349,900,449,204,711,5129,17590,12979,4611,1424,740,1798,191,3277,258,525,1484,21396,62480,140064
HIMACHAL PRADESH,2012,6.86,82.80%,55673,113,53,183,172,152,20,1,10,928,769,265,504,494,137,373,131,1173,2,250,562,6877,12557,25726
JAMMU & KASHMIR,2012,12.54,68.74%,42241,124,511,303,1093,1041,52,6,81,1395,2022,557,1465,1400,163,612,190,322,8,1322,371,14004,24608,51650
JHARKHAND,2012,32.96,67.63%,79716,1694,842,812,1056,786,270,284,494,1216,6680,2215,4465,2331,639,1566,136,4785,302,284,1594,14818,40946,88215
KARNATAKA,2012,61.13,75.36%,191791,1860,1923,621,1451,1070,381,211,2207,5792,18418,8886,9532,7502,401,5822,416,20350,218,2978,876,58468,134021,283404
KERALA,2012,33.38,94.00%,38863,374,497,1019,281,214,67,72,725,2710,4078,1262,2816,10938,301,4681,568,21170,32,3735,48,101582,158989,316159
MADHYA PRADESH,2012,72.63,69.32%,308252,2373,2332,3425,1302,1127,175,107,1940,10019,23182,12279,10903,1951,576,2021,814,35549,743,6655,7721,114585,220335,460114
MAHARASHTRA,2012,112.37,82.34%,307713,2712,2168,1839,1583,1140,443,793,6949,15648,47476,17855,29621,8860,1900,9398,1246,28392,329,3935,13311,46668,202700,444966
MANIPUR,2012,2.86,79.85%,22327,83,409,63,223,133,90,8,3,53,903,736,167,72,67,136,74,285,0,49,2,1086,3737,8379
MEGHALAYA,2012,2.96,75.48%,22429,137,63,164,92,24,68,52,46,145,543,152,391,0,44,108,61,157,1,43,102,761,2557,5711
MIZORAM,2012,1.09,91.58%,21081,30,21,103,8,3,5,2,4,347,605,24,581,1,12,42,12,103,0,85,34,336,1766,4124
NAGALAND,2012,1.98,80.11%,16579,75,42,21,27,10,17,1,54,65,381,65,316,3,22,39,7,30,0,16,31,266,1090,2578
ODISHA,2012,41.97,73.45%,155707,1548,1879,1458,1542,1364,178,402,1613,3430,9630,3210,6420,2205,317,1607,469,8223,525,4187,3605,22203,67957,143972
PUNJAB,2012,27.74,76.68%,50362,855,1045,680,919,689,230,48,213,2828,5272,2011,3261,1,289,3451,74,4186,118,340,3405,10405,35790,76110
RAJASTHAN,2012,68.55,67.06%,342239,1461,1538,2049,3243,2697,546,31,807,4610,23314,14107,9207,573,682,19646,475,17614,478,2352,8284,70240,170948,354902
SIKKIM,2012,0.61,81.42%,7096,7,7,34,10,10,0,0,6,65,117,17,100,22,3,31,20,91,1,19,32,58,528,1178
TAMIL NADU,2012,72.15,80.33%,130058,1949,2954,737,1945,1693,252,97,1898,4457,11996,3915,8081,3136,262,4151,726,22100,110,1494,15499,124176,200474,412102
TRIPURA,2012,3.67,87.75%,10491,124,79,229,139,114,25,7,60,239,565,140,425,128,47,105,59,1504,37,314,10,1742,6264,12356
Uttar Pradesh,2012,199.81,69.72%,240928,4966,4811,1963,8878,7910,968,322,3159,6187,37376,22773,14603,5676,3638,10713,327,12290,2244,3247,14406,68538,198093,433088
UTTARAKHAND,2012,10.12,78.82%,53483,217,161,148,297,256,41,29,144,391,1913,949,964,369,137,529,17,1022,71,139,670,2118,8882,19464
WEST BENGAL,2012,91.35,77.08%,88752,2252,2854,2046,5117,4168,949,279,816,464,22991,5158,17833,6611,1391,5300,396,15923,593,3345,4385,64482,161427,328780
A & N ISLANDS,2012,0.38,86.00%,8249,15,3,12,8,7,1,5,2,71,71,0,71,8,5,31,4,62,2,17,6,351,683,1435
CHANDIGARH,2012,1.05,86.00%,114,21,44,27,87,66,21,3,63,235,1549,894,655,49,34,234,9,42,5,45,3,1042,3606,8734
D & N HAVELI,2012,0.34,76.00%,603,7,2,3,13,9,4,2,2,22,68,36,32,11,10,4,12,25,0,2,23,112,318,717
DAMAN & DIU,2012,0.24,87.00%,112,3,5,5,3,0,3,1,3,26,55,42,13,9,6,8,11,17,0,0,38,46,239,533
DELHI,2012,17.07,86.00%,1484,521,439,706,3970,2160,1810,28,608,1715,22032,14391,7641,79,341,2491,79,1747,134,727,913,15408,54287,132227
LAKSHADWEEP,2012,0.06,92.00%,32,0,0,0,0,0,0,0,0,3,7,1,6,10,0,0,3,3,0,1,0,32,60,126
PUDUCHERRY,2012,1.24,86.00%,479,29,27,13,19,16,3,5,16,77,658,462,196,126,9,90,21,818,0,9,263,2060,4281,9198
 Andhra Pradesh,2013,60.4,67.02%,162975,2667,1678,946,1485,931,554,176,660,9050,23408,4521,18887,2328,1099,7581,1049,41545,466,4128,8515,39242,156951,327867
 Arunachal Pradesh,2013,1.4,66.95%,83743,77,20,31,68,51,17,37,60,253,370,50,320,7,28,21,10,427,0,43,0,585,2061,4536
